FID,PROVINSI,KECAMATAN,DESA,KABKOT
0,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,PASIR TINGGI,SIMEULUE
1,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LABUHAN JAYA,SIMEULUE
2,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,SEUNEUBOK,SIMEULUE
3,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,BATU RALANG,SIMEULUE
4,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,KEBUN BARU,SIMEULUE
5,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,PULAU BENGKALAK,SIMEULUE
6,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,BADEGONG,SIMEULUE
7,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,ANA AO,SIMEULUE
8,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,DIHIT,SIMEULUE
9,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SITUFA JAYA,SIMEULUE
10,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAKUBANG,SIMEULUE
11,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,BUBUHAN,SIMEULUE
12,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,AMARABU,SIMEULUE
13,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KUTA PADANG,SIMEULUE
14,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LATAK AYAH,SIMEULUE
15,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,BORENGAN,SIMEULUE
16,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAUREE,SIMEULUE
17,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SUAK BARU,SIMEULUE
18,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,TRANS MERANTI,SIMEULUE
19,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,TRANS JERNGE,SIMEULUE
20,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAUKE,SIMEULUE
21,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,PUTRA JAYA,SIMEULUE
22,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LUAN SORIP,SIMEULUE
23,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAMBAYA,SIMEULUE
24,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SEBBE,SIMEULUE
25,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LATITIK,SIMEULUE
26,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAMAYANG,SIMEULUE
27,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KUTA BATU,SIMEULUE
28,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,WEL WEL,SIMEULUE
29,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,WEL LANGKOM,SIMEULUE
30,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KUTA INANG,SIMEULUE
31,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SIBULUH,SIMEULUE
32,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,UJUNG PADANG,SIMEULUE
33,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,HUTAN,SIMEULUE
34,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,BLANG SEBEL,SIMEULUE
35,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KAMPUNG AIE,SIMEULUE
36,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,ULUL MANYANG,SIMEULUE
37,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,AREA PDKS,SIMEULUE
38,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LABUHAN BAKTI,SIMEULUE
39,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,ANGKEO,SIMEULUE
40,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,SITAL,SIMEULUE
41,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,LANTIK,SIMEULUE
42,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LABUHAN BAJAU,SIMEULUE
43,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LATALING,SIMEULUE
44,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,TRANS BARU,SIMEULUE
45,NANGGROE ACEH DARUSSALAM,TELUK DALAM,KUALA BAKTI,SIMEULUE
46,NANGGROE ACEH DARUSSALAM,TELUK DALAM,GUNUNG PUTIH,SIMEULUE
47,NANGGROE ACEH DARUSSALAM,TELUK DALAM,BABUSSALAM,SIMEULUE
48,NANGGROE ACEH DARUSSALAM,TELUK DALAM,MUARA AMAN,SIMEULUE
49,NANGGROE ACEH DARUSSALAM,TELUK DALAM,LUAN BALU,SIMEULUE
50,NANGGROE ACEH DARUSSALAM,TELUK DALAM,SAMBAI,SIMEULUE
51,NANGGROE ACEH DARUSSALAM,TELUK DALAM,BULU HADIK,SIMEULUE
