Grup,Var1,Var2,Unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
Input,Pupuk,Urea,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Pupuk,SP ,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Bahan Kimia,Set Up,liter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Input,Bahan Tanam,Kelapa dalam,batang,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Peralatan,Sabit,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
Input,Peralatan,Ambung,unit,0,0,0,0,0,35,35,35,75,75,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50
Input,Peralatan,Cangkul,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
Input,Peralatan,Parang,unit,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
Input,Peralatan,Sprayer,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
Input,Peralatan,Tangkus,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Input,Peralatan,Bambu,unit,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Input,Tenaga Kerja,tebas,HOK,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja,bakar,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja,Pembuatan parit cacing,HOK,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja,Pemeliharaan parit cacing,HOK,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Input,Tenaga Kerja,Penanaman ,HOK,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja,Penyiangan,HOK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Input,Tenaga Kerja,Penyemprotan,HOK,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Input,Tenaga Kerja,Pemanenan,HOK,,,,0,0,29.16666667,29.16666667,29.16666667,62.5,62.5,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667
Input,Tenaga Kerja,Transport ke langkau,HOK,,,,0,0,0.875,0.875,0.875,1.875,1.875,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
