Grup,Var1,Var2,Unit,Private Price,Social Price
Input,Pupuk,Urea,Rp/kg,0,0
Input,Pupuk,SP ,Rp/kg,0,0
Input,Bahan Kimia,Set Up,Rp/liter,65000,65000
Input,Bahan Tanam,Kelapa dalam,Rp/btng,3000,3000
Input,Peralatan,Sabit,Rp/unit,30000,30000
Input,Peralatan,Ambung,Rp/unit,4000,4000
Input,Peralatan,Cangkul,Rp/unit,100000,100000
Input,Peralatan,Parang,Rp/unit,75000,75000
Input,Peralatan,Sprayer,Rp/unit,300000,300000
Input,Peralatan,Tangkus,Rp/unit,20000,20000
Input,Peralatan,Bambu,Rp/unit,5000,5000
Input,Tenaga Kerja,tebas,Rp/HOK,70000,70000
Input,Tenaga Kerja,bakar,Rp/HOK,70000,70000
Input,Tenaga Kerja,Pembuatan parit cacing,Rp/HOK,70000,70000
Input,Tenaga Kerja,Pemeliharaan parit cacing,Rp/HOK,70000,70000
Input,Tenaga Kerja,Penanaman ,Rp/HOK,70000,70000
Input,Tenaga Kerja,Penyiangan,Rp/HOK,70000,70000
Input,Tenaga Kerja,Penyemprotan,Rp/HOK,70000,70000
Input,Tenaga Kerja,Pemanenan,Rp/HOK,70000,70000
Input,Tenaga Kerja,Transport ke langkau,Rp/HOK,70000,70000
