Grup,Var1,Var2,Unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
Input,Pupuk,Fertilizer: Urea ,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Pupuk,Herbisida,lt,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Input,Pupuk,Seed ,kg,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Input,Peralatan,Sprayer,unit,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
Input,Peralatan,Parang,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Input,Tenaga Kerja,Persiapan Lahan,HOK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Input,Tenaga Kerja,Pemeliharaan parit,HOK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Input,Tenaga Kerja,Penanaman (Tugal dan tanam),HOK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Input,Tenaga Kerja,Penyiangan/penyemprotan,HOK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Input,Tenaga Kerja,Panen,HOK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Input,Tenaga Kerja,Pasca panen (kupas dan jemur),HOK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
