Grup,Var1,Var2,Unit,Private Price,Social Price
Input,Pupuk,Urea,Rp/kg,3000,3000
Input,Pupuk,SP ,Rp/kg,5400,2500
Input,Pupuk,KCL,Rp/kg,3000,3000
Input,Pupuk,NPK,Rp/kg,10000,3000
Input,Bahan Kimia,Basmilang,Rp/liter,45000,45000
Input,Bahan Tanam,Padi,Rp/kg,6000,6000
Input,Bahan Tanam,Kopi,Rp/btng,200,200
Input,Tools,Karung,Rp/unit,5000,5000
Input,Tools,Cangkul,Rp/unit,50000,50000
Input,Tools,Parang,Rp/unit,25000,25000
Input,Tools,Sprayer,Rp/unit,225000,225000
Input,Tenaga Kerja Persiapan Lahan,tebas,Rp/HOK,70000,70000
Input,Tenaga Kerja Persiapan Lahan,tumbang,Rp/HOK,70000,70000
Input,Tenaga Kerja Persiapan Lahan,bakar,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Tugal dan tanam padi,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Penyiangan,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Bird + pig waching,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Panen,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Perontokan + Pengeringan,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Penanaman buah,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Penanaman kopi,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Pruning,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Pemangkasan tunas,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Penyiangan,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Pemupukan,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Penyemprotan,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,ongkos angkut,Rp/HOK,1500,1500
Input,Tenaga Kerja Kopi,Kopi,Rp/HOK,70000,70000
Input,Tenaga Kerja Kopi,Giling kopi,Rp/kg,600,600
Input,Tenaga Kerja Kopi,Penjemuran kopi,Rp/HOK,70000,70000
