Grup,Var1,Var2,Unit,Private Price,Social Price
Input,Pupuk,Urea,Rp/kg,2200,2000
Input,Pupuk,SP,Rp/kg,2400,2400
Input,Pupuk,KCL,Rp/kg,2800,2800
Input,Pupuk,NPK,Rp/kg,2600,2600
Input,Pupuk,Herbisida,Rp/kg,70000,70000
Input,Pupuk,Seed ,Rp/kg,4000,4000
Input,Peralatan,Parang,Rp/Unit,50000,50000
Input,Peralatan,Spayer,Rp/Unit,250000,250000
Input,Tenaga Kerja,Land Clearing/Preparation,Rp/HOK,70000,70000
Input,Tenaga Kerja,Seedbed Preparation,Rp/HOK,70000,70000
Input,Tenaga Kerja,Planting/Replanting,Rp/HOK,70000,70000
Input,Tenaga Kerja,Weeding,Rp/HOK,70000,70000
Input,Tenaga Kerja,Spraying/Crop Care,Rp/HOK,70000,70000
Input,Tenaga Kerja,Crop watching from pig,Rp/HOK,70000,70000
Input,Tenaga Kerja,Crop watching from bird,Rp/HOK,70000,70000
Input,Tenaga Kerja,Harvesting,Rp/HOK,70000,70000
Input,Tenaga Kerja,Drying,Rp/HOK,70000,70000
