Grup,Var1,Var2,Unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
Input,Pupuk,Urea,kg/ha,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Pupuk,SP ,kg/ha,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Bahan Kimia,Round Up,liter/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Bahan Kimia,Formic acid,botol,,,,,,,,,16.48463591,17.2623474,18.77260696,19.12425183,19.36286909,19.08063828,18.78712471,18.54729954,18.28858668,17.60256599,16.91238393,16.47873306,15.98332409,15.49029528,14.93849201,14.4512784,13.42542461,12.41408577,11.47538198,10.54960218,9.586012064,8.69104764
Input,Bahan Kimia,Bahan Tanam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Bahan Kimia,Padi/Gabah,Kg,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Bahan Kimia,Karet,batang,550,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Peralatan,Pisau sadap,unit,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Input,Peralatan,Mangkok penampung (latex cup),unit,,,,,,,,,200,350,427,427,427,446.5,437,427,418,408,399,389,380,370,361,351,342,332,323,304,285,266
Input,Peralatan,Ember karet,pair,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
Input,Peralatan,Cangkul,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
Input,Peralatan,Parang,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Input,Peralatan,Bak penampung,unit,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Input,Tenaga Kerja Persiapan Lahan,Tebas,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Persiapan Lahan,Tumbang,HOK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Persiapan Lahan,Bakar,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Persiapan Lahan,Pancang,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Padi,Tugal dan tanam padi,HOK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Padi,Penyiangan,HOK,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Padi,Bird + pig waching,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Padi,Panen,HOK,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Padi,Perontokan + Pengeringan,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Karet,Pembuatan lubang +tanam+ pagar,HOK,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Karet,Tanam,HOK,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Karet,Penyiangan,HOK,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Input,Tenaga Kerja Karet,Pruning,HOK,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,Tenaga Kerja Karet,Penyadapan,HOK,0,0,0,0,0,0,0,10,88.31054953,92.47686107,100.5675373,102.4513491,103.7296559,102.2177051,100.6453109,99.36053325,97.97457148,94.29946066,90.60205677,88.27892711,85.62495048,82.98372469,80.02763577,77.41756286,71.92191756,66.5040309,61.47526061,56.51572596,51.35363606,46.55918379
