Grup,Var1,Var2,Unit,Private Price,Social Price
Input,Pupuk,Urea,Rp/kg,2600,2600
Input,Pupuk,SP ,Rp/kg,2700,2700
Input,Bahan Kimia,Round Up,Rp/liter,80000,80000
Input,Bahan Kimia,Formic acid,Rp/botol,6000,6000
Input,Bahan Tanam,Padi/Gabah,Rp/kg,4000,4000
Input,Bahan Tanam,Karet lokal,Rp/btng,2500,2500
Input,Peralatan,Pisau sadap,Rp/unit,20000,20000
Input,Peralatan,Mangkok penampung (latex cup),Rp/unit,500,200
Input,Peralatan,Ember karet,Rp/unit,10000,10000
Input,Peralatan,Cangkul,Rp/unit,50000,25000
Input,Peralatan,Parang,Rp/unit,50000,50000
Input,Peralatan,Bak penampung,Rp/unit,50000,50000
Input,Tenaga Kerja Persiapan Lahan,Tebas,Rp/HOK,70000,70000
Input,Tenaga Kerja Persiapan Lahan,Tumbang,Rp/HOK,70000,70000
Input,Tenaga Kerja Persiapan Lahan,Bakar,Rp/HOK,70000,70000
Input,Tenaga Kerja Persiapan Lahan,Pancang,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Tugal dan tanam padi,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Penyiangan,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Bird + pig waching,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Panen,Rp/HOK,70000,70000
Input,Tenaga Kerja Padi,Perontokan + Pengeringan,Rp/HOK,70000,70000
Input,Tenaga Kerja Karet,Pembuatan lubang + pagar,Rp/HOK,70000,70000
Input,Tenaga Kerja Karet,Tanam,Rp/HOK,70000,70000
Input,Tenaga Kerja Karet,Penyiangan,Rp/HOK,70000,70000
Input,Tenaga Kerja Karet,Pruning,Rp/HOK,70000,70000
Input,Tenaga Kerja Karet,Penyadapan,Rp/HOK,70000,70000
