Persiapan Lahan,Pembuatan parit,Pemeliharaan parit,Penanaman (Tugal dan tanam),Penyiangan/penyemprotan,Panen,Pasca panen (kupas dan jemur)
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
20,24,8,10,14,14,8
