no,sut,nama_komoditas,provinsi,tahun_analisis,tipe_lahan
1,MONOKULTUR,COKLAT,JABAR,2020,MINERAL
2,MONOKULTUR,JAGUNG,JABAR,2020,MINERAL
3,MONOKULTUR,KARET,JABAR,2020,MINERAL
4,MONOKULTUR,KELAPA,JABAR,2020,MINERAL
5,MONOKULTUR,KELAPA SAWIT,JABAR,2020,MINERAL
6,MONOKULTUR,PADI,JABAR,2020,MINERAL
7,AGROFORESTRI,KEBUN CAMPUR,JABAR,2020,MINERAL
8,AGROFORESTRI,KARET AF,JABAR,2020,MINERAL
9,AGROFORESTRI,KELAPA SAWIT AF,JABAR,2020,MINERAL
10,AGROFORESTRI,KOPI AF,JABAR,2020,MINERAL
11,MONOKULTUR,KARET,JABAR,2019,MINERAL
12,MONOKULTUR,COKLAT,JABAR,2019,MINERAL
13,MONOKULTUR,KELAPA SAWIT,JABAR,2019,MINERAL
14,MONOKULTUR,KELAPA,JABAR,2019,MINERAL
15,AGROFORESTRI,KEBUN CAMPUR,JABAR,2019,MINERAL
16,AGROFORESTRI,KARET AF,JABAR,2019,MINERAL
17,MONOKULTUR,KELAPA,JABAR,2019,MINERAL
18,MONOKULTUR,KARET,JABAR,2019,MINERAL
19,MONOKULTUR,KELAPA SAWIT,JABAR,2019,MINERAL
20,MONOKULTUR,SAGU,JABAR,2019,MINERAL
21,MONOKULTUR,SAWAH,JABAR,2019,MINERAL
22,MONOKULTUR,JAGUNG,JABAR,2019,MINERAL
