komponen,keterangan,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
pupuk,urea,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pupuk,sp,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pupuk,round up,liter/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pupuk,formic acid,botol,,,,,,,,,0,2.03934096,3.73050792,4.953970368,5.3862948,5.424737139,5.500628649,5.683818816,5.90736672,5.9457555,6.02150706,6.09589782,6.16893642,6.049827576,6.01471301,5.7559284,5.385421728,5.385421728,5.211121878,5.1028056,4.91596695,4.73767803
bahan tanam /bibit,padi,kg,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahan tanam /bibit,karet lokal,batang,550,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peralatan,Pisau sadap,unit,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
peralatan,Mangkok penampung (latex cup),unit,,,,,,,,,,100,150,180,190,190,190,195,200,200,200,200,200,195,195,190,180,180,180,180,180,180
peralatan,Ember karet,pair,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
peralatan,Cangkul,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
peralatan,Parang,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
peralatan,Bak penampung,unit,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tenaga kerja,tebas,hok,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja,tumbang,hok,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja,bakar,hok,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja,pancang,hok,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja padi,penanaman,hok,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,penyiangan,hok,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,bird and pig waching,hok,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,pemanenan,hok,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,pengeringan,hok,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja karet,pembuatan lubang,hok,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja karet,penanaman,hok,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja karet,penyiangan,hok,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
tenaga kerja karet,pruning,hok,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja karet,penyadapan,hok,0,0,0,0,0,0,0,0,10,8.28482265,15.15518843,20.12550462,21.88182263,22.03799463,22.34630389,23.09051394,23.9986773,24.15463172,24.46237243,24.76458489,25.06130421,24.57742453,24.4347716,23.38345913,21.87827577,21.87827577,21.17018263,20.73014775,19.97111573,19.246817
tenaga kerja panen,panen durian,hok,,,,,,,,,,,,2,,,8,,,8,,,8,,,8,,,8,,,8
tenaga kerja panen,panen duku,hok,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
tenaga kerja panen,panen jengkol,hok,,,,,,,,,,,,2,2,3,3,4,4,5,7,8,8,8,8,8,8,8,8,8,8,8
