sut,komoditas,provinsi,tahun,tipe lahan,tipe kebun,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,urea,kg/ha,rp,1500,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,sp,kg/ha,rp,2300,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,round up,liter/ha,rp,80000,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,formic acid,botol,rp,6000,6000,,,,,,,,,0,2.03934096,3.73050792,4.953970368,5.3862948,5.424737139,5.500628649,5.683818816,5.90736672,5.9457555,6.02150706,6.09589782,6.16893642,6.049827576,6.01471301,5.7559284,5.385421728,5.385421728,5.211121878,5.1028056,4.91596695,4.73767803
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,padi,kg,rp,4000,4000,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,karet lokal,batang,rp,1000,1000,550,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Pisau sadap,unit,rp,20000,20000,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Mangkok penampung (latex cup),unit,rp,200,200,,,,,,,,,,100,150,180,190,190,190,195,200,200,200,200,200,195,195,190,180,180,180,180,180,180
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Ember karet,pair,rp,10000,10000,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Cangkul,unit,rp,25000,25000,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Parang,unit,rp,50000,50000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Bak penampung,unit,rp,50000,50000,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,tebas,hok,rp,80000,80000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,tumbang,hok,rp,80000,80000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,bakar,hok,rp,80000,80000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,pancang,hok,rp,80000,80000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,penanaman,hok,rp,80000,80000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,penyiangan,hok,rp,80000,80000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,bird and pig waching,hok,rp,80000,80000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,pemanenan,hok,rp,80000,80000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,pengeringan,hok,rp,80000,80000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
