sut,komoditas,provinsi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KELAPA SAWIT AF,ACEH,2020,MINERAL,LARGE SCALE,7.4,2.4,14831,input,pupuk,Urea,Rp/kg,"2,273","2,273",kg,83000,167000,252000,337000,422000,507000,508000,510000,498000,486000,474000,462000,451000,439000,449000,459000,470000,480000,491000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000
,,,,,,,,,input,pupuk,TSP,Rp/kg,"3,210","3,210",kg,162000,323000,504000,685000,866000,1047000,1067000,1086000,1106000,1125000,1145000,1164000,1184000,1203000,1275000,1346000,1418000,1489000,1561000,1632000,1632000,1632000,1632000,1632000,1632000,1632000,1632000,1632000,1632000,1632000
,,,,,,,,,input,pupuk,RP,Rp/kg,"1,065",815,kg,85000,170000,267000,364000,461000,559000,571000,583000,574000,565000,557000,548000,539000,530000,578000,626000,673000,721000,768000,816000,816000,816000,816000,816000,816000,816000,816000,816000,816000,816000
,,,,,,,,,input,pupuk,MOP,Rp/kg,"7,667","3,097",kg,80000,160000,261000,362000,463000,564000,585000,606000,591000,577000,563000,549000,534000,520000,551000,582000,613000,644000,675000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000
,,,,,,,,,input,pupuk,Dolomite,Rp/kg,420,310,kg,39000,77000,84000,91000,97000,104000,73000,41000,40000,40000,39000,39000,38000,38000,38000,39000,39000,40000,40000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
,,,,,,,,,input,pupuk,CIRP,Rp/kg,580,580,kg,0,0,0,0,0,0,0,0,68000,136000,204000,272000,340000,408000,340000,272000,204000,136000,68000,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,input,bahan kimia,LINDOMIN,,,,lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,bahan kimia,ALLY,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,bahan kimia,AGRISTIK,,,,lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,bahan kimia,Roundup,,,,lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,bahan tanam /bibit,palm oil,,,,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,bahan tanam /bibit,LCC seed : C. mucunoides,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,bahan tanam /bibit,LCC seed : P. javanica,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,bahan tanam /bibit,LCC seed: C caeruleum,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,peralatan,Ajir,,,,btg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,peralatan,Ember,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,peralatan,Takaran pupuk,,,,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,peralatan,Fuel,,,,Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,peralatan,Lubricants,,,,Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,peralatan,Grease,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,peralatan,Spareparts,,,,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,tenaga kerja ahli,Supervisor & Manager,,,,paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,tenaga kerja ahli,Staff,,,,paket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,tenaga kerja ahli,forest demarcation,,,,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,tenaga kerja ahli,micro survey for conversion,,,,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,tenaga kerja ahli,pre survey,,,,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,input,tenaga kerja ahli,feasibility study,,,,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,output,tenaga kerja ahli,landuse planning,,,,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,modal kapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,modal kapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sampingan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,utama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,modal kapital privat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,modal kapital sosial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
