sut,komoditas,provinsi,tahun,tipe lahan,tipe kebun,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,Urea,kg,rp,3000,3000,,,,,,,100,,,,,,,100,,,,,,,,,,,,,,,,
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,SP ,kg,rp,5400,2500,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,,
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,KCL,kg,rp,3000,3000,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,,
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,NPK,kg,rp,10000,3000,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,,
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,basmilang,liter,rp,45000,45000,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,padi,kg,rp,6000,6000,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,kopi,batang,rp,200,200,3000,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Karung,unit,rp,5000,5000,,2.4,30,30,18,18,18,30,30,12,12,12,12,12,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Cangkul,unit,rp,50000,50000,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Parang,unit,rp,25000,25000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
