sut,komoditas,provinsi,tipe,tipe lahan,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,pupuk,npk,kg,rp,2500,2500,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,pupuk,urea,kg,rp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,bahan kimia,Gramoxon,lt,rp,60000,60000,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,bahan kimia,Allie,Btl,rp,53000,53000,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,bahan kimia,Amirtantop,Btl,rp,60000,60000,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,bahan kimia,Ridomid,Bungkus,rp,40000,40000,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,bahan tanam /bibit,coklat,batang,rp,3000,3000,800,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,peralatan,Sabit,unit,rp,250000,250000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,peralatan,Pisau,unit,rp,25000,25000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MONOKULTUR,COKLAT,ACEH,SMALL HOLDER,MINERAL,input,peralatan,Sprayer,unit,rp,400000,400000,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
