sut,komoditas,provinsi,tipe,tipe lahan,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,pupuk,urea,kg/ha,rp,2200,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,pupuk,herbisida,lt,rp,50000,50000,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,bahan tanam /bibit,seed,kg/ha,rp,8000,8000,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,peralatan,sprayer,unit,rp,250000,250000,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,peralatan,parang,unit,rp,50000,50000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,tenaga kerja,Persiapan Lahan,hok,rp,80000,80000,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,tenaga kerja,Pemeliharaan parit,hok,rp,60000,60000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,tenaga kerja,Penanaman (Tugal dan tanam),hok,rp,80000,80000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,tenaga kerja,Penyiangan/penyemprotan,hok,rp,80000,80000,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,tenaga kerja,Panen,hok,rp,80000,80000,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,input,tenaga kerja,Pasca panen (kupas dan jemur),hok,rp,80000,80000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MONOKULTUR,JAGUNG,ACEH,CROP,MINERAL,output,utama,jagung,kg,rp,3200,2000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
