komponen,keterangan,unit,harga privat,harga sosial
pupuk,urea,rp,2200,2000
pupuk,herbisida,rp,50000,50000
bahan tanam /bibit,seed,rp,8000,8000
peralatan,sprayer,rp,250000,250000
peralatan,parang,rp,50000,50000
tenaga kerja,Persiapan Lahan,rp,80000,80000
tenaga kerja,Pemeliharaan parit,rp,60000,60000
tenaga kerja,Penanaman (Tugal dan tanam),rp,80000,80000
tenaga kerja,Penyiangan/penyemprotan,rp,80000,80000
tenaga kerja,Panen,rp,80000,80000
tenaga kerja,Pasca panen (kupas dan jemur),rp,80000,80000
