sut,komoditas,provinsi,tahun,tipe lahan,tipe kebun,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,urea,kg/ha,rp,2600,2600,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,sp,kg/ha,rp,2700,2700,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,round up,liter/ha,rp,80000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,formic acid,botol,rp,6000,6000,0,0,0,0,0,0,0,0,16.48463591,17.2623474,18.77260696,19.12425183,19.36286909,19.08063828,18.78712471,18.54729954,18.28858668,17.60256599,16.91238393,16.47873306,15.98332409,15.49029528,14.93849201,14.4512784,13.42542461,12.41408577,11.47538198,10.54960218,9.586012064,8.69104764
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,padi,kg,rp,4000,4000,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,karet,batang,rp,2500,2500,550,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Pisau sadap,unit,rp,20000,20000,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Mangkok penampung (latex cup),unit,rp,500,200,,,,,,,,,200,350,427,427,427,446.5,437,427,418,408,399,389,380,370,361,351,342,332,323,304,285,266
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Ember karet,pair,rp,10000,10000,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Cangkul,unit,rp,50000,25000,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Parang,unit,rp,50000,50000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Bak penampung,unit,rp,50000,50000,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,tebas,hok,rp,80000,80000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,tumbang,hok,rp,80000,80000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,bakar,hok,rp,80000,80000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,pancang,hok,rp,80000,80000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,penanaman,hok,rp,80000,80000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,penyiangan,hok,rp,80000,80000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,bird and pig waching,hok,rp,80000,80000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,pemanenan,hok,rp,80000,80000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,pengeringan,hok,rp,80000,80000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja karet,pembuatan lubang,hok,rp,80000,80000,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja karet,penanaman,hok,rp,80000,80000,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja karet,penyiangan,hok,rp,80000,80000,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja karet,pruning,hok,rp,80000,80000,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja karet,penyadapan,hok,rp,80000,80000,0,0,0,0,0,12.72801099,29.14218421,44.77217648,48.80250904,51.10491184,55.57601185,56.61705104,57.32347375,56.4879338,55.61899142,54.90899273,54.14307731,52.1121237,50.06885041,48.78503374,47.31838316,45.858779,44.22517399,42.78278565,39.74576142,36.75170845,33.97269044,31.23193369,28.37924009,25.72971179
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,padi,kg,rp,10000,6000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,kayu karet,m3,rp,300000,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KARET,ACEH,2020,MINERAL,SMALLHOLDER,output,utama,karet basah,kg,rp,6500,24000,0,0,0,0,0,313.304886,717.3460728,1102.084344,1201.29253,1257.967061,1368.024907,1393.650487,1411.039354,1390.472217,1369.082866,1351.605975,1332.752672,1282.759968,1232.46401,1200.862369,1164.760201,1128.831483,1088.619667,1053.114724,978.3572041,904.6574388,836.2508415,768.7860601,698.56591,633.3467518
