sut,komoditas,provinsi,tahun,tipe lahan,tipe kebun,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,TSP,kg,Rp/kg,5000,2000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,NPK,kg,Rp/kg,6000,4000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,pupuk,Organik,kg,Rp/kg,1000,1000,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan kimia,Roundup,liter,Rp/l,80000,80000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,padi,kg,Rp/kg,8000,4000,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,bahan tanam /bibit,kelapa sawit,batang,Rp/bibit,45000,15000,135,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Dodos,unit,Rp/unit,150000,150000,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Egreg,unit,Rp/unit,225000,225000,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Angkong,unit,Rp/unit,300000,300000,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Sprayer,unit,Rp/unit,250000,250000,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,peralatan,Parang,unit,Rp/unit,50000,50000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,tebas,hok,rp,80000,80000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,tumbang,hok,rp,187500,187500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,bakar,hok,rp,80000,80000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja,pancang,hok,rp,80000,80000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,penanaman,hok,rp,80000,80000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,penyiangan,hok,rp,80000,80000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,bird and pig waching,hok,rp,80000,80000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,pemanenan,hok,rp,80000,80000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja padi,pengeringan,hok,rp,80000,80000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,pembuatan lubang,hok,rp,80000,80000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,penanaman,hok,rp,80000,80000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,Pembersihan piringan,hok,rp,80000,80000,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,Pruning,hok,rp,80000,80000,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,Penyemprotan,hok,rp,80000,80000,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,Pemupukan,hok,rp,80000,80000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,pemanenan,hok,rp,80000,80000,,,1.50862069,5.028735632,12.57183908,25.14367816,25.14367816,50.28735632,50.28735632,62.8591954,62.8591954,62.8591954,62.8591954,62.8591954,62.8591954,50.28735632,50.28735632,50.28735632,50.28735632,50.28735632,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja sawit,pengangkutan,ton,rp/ton,50000,50000,0,0,0.603448276,2.011494253,5.028735632,10.05747126,10.05747126,20.11494253,20.11494253,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,20.11494253,20.11494253,20.11494253,20.11494253,20.11494253,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,padi,kg,rp,10000,8000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,output,utama,tbs,kg,rp,1000,1438.144013,0,0,603.448276,2011.494253,5028.735632,10057.47126,10057.47126,20114.94253,20114.94253,25143.67816,25143.67816,25143.67816,25143.67816,25143.67816,25143.67816,20114.94253,20114.94253,20114.94253,20114.94253,20114.94253,10057.47126,10057.47126,10057.47126,10057.47126,10057.47126,10057.47126,10057.47126,10057.47126,10057.47126,10057.47126
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,modal kapital,modal kapital privat,working capital,,rp,,,0,0,35797.9664,11733.71648,25143.67816,41906.13027,0,83812.26054,0,41906.13027,0,0,0,0,0,-41906.13027,0,0,0,0,-83812.26054,0,0,0,0,0,0,0,0,-114581.4913
MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,SMALLHOLDER,modal kapital,modal kapital sosial,working capital,,rp,,,0,0,35797.9664,11733.71648,25143.67816,41906.13027,0,83812.26054,0,41906.13027,0,0,0,0,0,-41906.13027,0,0,0,0,-83812.26054,0,0,0,0,0,0,0,0,-114581.4913
