komponen,keterangan,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
pupuk,TSP,kg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
pupuk,NPK,kg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
pupuk,Organik,kg,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
bahan kimia,Roundup,liter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
bahan tanam /bibit,padi,kg,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bahan tanam /bibit,kelapa sawit,batang,135,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peralatan,Dodos,unit,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
peralatan,Egreg,unit,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
peralatan,Angkong,unit,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
peralatan,Sprayer,unit,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
peralatan,Parang,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
tenaga kerja,tebas,hok,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja,tumbang,hok,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja,bakar,hok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja,pancang,hok,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,penanaman,hok,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,penyiangan,hok,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,bird and pig waching,hok,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,pemanenan,hok,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja padi,pengeringan,hok,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja sawit,pembuatan lubang,hok,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja sawit,penanaman,hok,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenaga kerja sawit,Pembersihan piringan,hok,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
tenaga kerja sawit,Pruning,hok,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
tenaga kerja sawit,Penyemprotan,hok,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
tenaga kerja sawit,Pemupukan,hok,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
tenaga kerja sawit,pemanenan,hok,,,1.50862069,5.028735632,12.57183908,25.14367816,25.14367816,50.28735632,50.28735632,62.8591954,62.8591954,62.8591954,62.8591954,62.8591954,62.8591954,50.28735632,50.28735632,50.28735632,50.28735632,50.28735632,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816
pasca panen,pengangkutan,kg,0,0,0.603448276,2.011494253,5.028735632,10.05747126,10.05747126,20.11494253,20.11494253,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,25.14367816,20.11494253,20.11494253,20.11494253,20.11494253,20.11494253,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126,10.05747126
