komponen,keterangan,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
pupuk,urea,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pupuk,sp,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pupuk,set up,liter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
bahan tanam /bibit,kelapa,batang,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peralatan,Sabit,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
peralatan,Ambung,unit,0,0,0,0,0,35,35,35,75,75,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50
peralatan,Cangkul,pair,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
peralatan,Parang,unit,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
peralatan,Sprayer,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
peralatan,Tangkus,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
peralatan,Bambu,unit,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
tenaga kerja,tebas,hok,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja,bakar,hok,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja,Pembuatan parit cacing,hok,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja,Pemeliharaan parit cacing,hok,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
tenaga kerja,Penanaman ,hok,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja,Penyiangan,hok,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
tenaga kerja,Penyemprotan,hok,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
tenaga kerja,Pemanenan,hok,,,,0,0,29.16666667,29.16666667,29.16666667,62.5,62.5,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667
tenaga kerja,Transport ke langkau,hok,,,,0,0,0.875,0.875,0.875,1.875,1.875,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
