sut,komoditas,provinsi,tipe,tipe lahan,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,pupuk,urea,kg,rp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,pupuk,sp,kg,rp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,pupuk,set up,liter,rp,65000,65000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,bahan tanam /bibit,kelapa,batang,rp,3000,3000,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,peralatan,Sabit,unit,rp,30000,30000,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,peralatan,Ambung,unit,rp,4000,4000,0,0,0,0,0,35,35,35,75,75,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,peralatan,Cangkul,pair,rp,100000,100000,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,peralatan,Parang,unit,rp,75000,75000,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,peralatan,Sprayer,unit,rp,300000,300000,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,peralatan,Tangkus,unit,rp,20000,20000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,peralatan,Bambu,unit,rp,5000,5000,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,tebas,hok,rp,80000,80000,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,bakar,hok,rp,80000,80000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,Pembuatan parit cacing,hok,rp,80000,80000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,Pemeliharaan parit cacing,hok,rp,80000,80000,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,Penanaman ,hok,rp,80000,80000,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,Penyiangan,hok,rp,80000,80000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,Penyemprotan,hok,rp,80000,80000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,Pemanenan,hok,rp,80000,80000,,,,0,0,29.16666667,29.16666667,29.16666667,62.5,62.5,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,83.33333333,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,input,tenaga kerja,Transport ke langkau,hok,rp,80000,80000,,,,0,0,0.875,0.875,0.875,1.875,1.875,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
MONOKULTUR,KELAPA,ACEH,SMALLHOLDER,MINERAL,output,utama,kelapa,butir,rp/butir,1200,1200,0,0,0,0,0,3500,3500,3500,7500,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
