komponen,keterangan,unit,harga privat,harga sosial
pupuk,urea,rp,0,0
pupuk,sp,rp,0,0
pupuk,set up,rp,65000,65000
bahan tanam /bibit,kelapa,rp,3000,3000
peralatan,Sabit,rp,30000,30000
peralatan,Ambung,rp,4000,4000
peralatan,Cangkul,rp,100000,100000
peralatan,Parang,rp,75000,75000
peralatan,Sprayer,rp,300000,300000
peralatan,Tangkus,rp,20000,20000
peralatan,Bambu,rp,5000,5000
tenaga kerja,tebas,rp,80000,80000
tenaga kerja,bakar,rp,80000,80000
tenaga kerja,Pembuatan parit cacing,rp,80000,80000
tenaga kerja,Pemeliharaan parit cacing,rp,80000,80000
tenaga kerja,Penanaman ,rp,80000,80000
tenaga kerja,Penyiangan,rp,80000,80000
tenaga kerja,Penyemprotan,rp,80000,80000
tenaga kerja,Pemanenan,rp,80000,80000
tenaga kerja,Transport ke langkau,rp,80000,80000
