komponen,keterangan,unit,harga privat,harga sosial
pupuk,urea,rp,2200,2000
pupuk,sp,rp,2400,2400
pupuk,kcl,rp,2800,2800
pupuk,Herbisida,rp,70000,70000
bahan tanam /bibit,seed,rp,4000,4000
peralatan,parang,rp,50000,50000
peralatan,sprayer,rp,250000,250000
tenaga kerja,Land Clearing/Preparation,rp,80000,80000
tenaga kerja,Seedbed Preparation,rp,80000,80000
tenaga kerja,Planting/Replanting,rp,80000,80000
tenaga kerja,Weeding,rp,80000,80000
tenaga kerja,Spraying/Crop Care,rp,80000,80000
tenaga kerja,Crop watching from pig,rp,80000,80000
tenaga kerja,Crop watching from bird,rp,80000,80000
tenaga kerja,Harvesting,rp,80000,80000
tenaga kerja,Drying,rp,80000,80000
