sut,komoditas,provinsi,tahun,tipe lahan,tipe kebun,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,pupuk,urea,kg/ha,rp,2200,2000,400,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,pupuk,sp,kg/ha,rp,2400,2400,400,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,pupuk,kcl,liter/ha,rp,2800,2800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,pupuk,Herbisida,botol,rp,70000,70000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,bahan tanam /bibit,seed,kg/ha,rp,4000,4000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,peralatan,parang,unit,rp,50000,50000,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,peralatan,sprayer,unit,rp,250000,250000,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Land Clearing/Preparation,hok,rp,80000,80000,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Seedbed Preparation,hok,rp,80000,80000,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Planting/Replanting,hok,rp,80000,80000,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Weeding,hok,rp,80000,80000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Spraying/Crop Care,hok,rp,80000,80000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Crop watching from pig,hok,rp,80000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Crop watching from bird,hok,rp,80000,80000,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Harvesting,hok,rp,80000,80000,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,input,tenaga kerja,Drying,hok,rp,80000,80000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MONOKULTUR,PADI,ACEH,2020,MINERAL,CROP,output,utama,padi,kg/ha,rp,8000,8000,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240
