no,sut,nama_komoditas,provinsi,tahun_analisis,tipe_lahan,kabupaten,status crosscek
1,MONOKULTUR,COKLAT,ACEH,2020,MINERAL,,sesuai
2,MONOKULTUR,JAGUNG,ACEH,2020,MINERAL,,sesuai
3,MONOKULTUR,KARET,ACEH,2020,MINERAL,,sesuai
4,MONOKULTUR,KELAPA,ACEH,2020,MINERAL,,sesuai
5,MONOKULTUR,KELAPA SAWIT,ACEH,2020,MINERAL,,sesuai
6,MONOKULTUR,PADI,ACEH,2020,MINERAL,,sesuai
7,AGROFORESTRI,KEBUN CAMPUR AF,ACEH,2020,MINERAL,,sesuai
8,AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,,sesuai
9,AGROFORESTRI,KELAPA SAWIT AF,ACEH,2020,MINERAL,,npv nya berbeda perhitungan
10,AGROFORESTRI,LOGGING AF,ACEH,2020,MINERAL,,x
11,AGROFORESTRI,KOPI AF,ACEH,2020,MINERAL,,sesuai
12,MONOKULTUR,LADA (BELUM ADA),KALIMANTAN TIMUR,2019,MINERAL,BERAU,x
13,MONOKULTUR,KELAPA,KALIMANTAN TIMUR,2019,MINERAL,BERAU,sesuai
14,MONOKULTUR,KELAPA SAWIT,KALIMANTAN TIMUR,2019,MINERAL,BERAU,sesuai
15,MONOKULTUR,KAKAO,KALIMANTAN TIMUR,2019,MINERAL,BERAU,sesuai
16,MONOKULTUR,KARET,KALIMANTAN TIMUR,2019,MINERAL,BERAU,sesuai
17,AGROFORESTRI,KARET AF,RIAU,2019,MINERAL,PELALAWAN,
