komoditas,komponen,jenis,unit
UMUM,pupuk,npk,kg
UMUM,pupuk,urea,kg
UMUM,pupuk,organik,kg
UMUM,pupuk,za,kg
UMUM,pupuk,sp36,kg
UMUM,pupuk,kcl,kg
COKLAT,bibit,coklat,batang
JAGUNG,bibit,seed,kg/ha
KARET,bibit,padi,kg
KARET,bibit,karet,batang
KELAPA,bibit,kelapa,batang
KELAPA SAWIT,bibit,padi,kg
KELAPA SAWIT,bibit,kelapa sawit,batang
PADI,bibit,seed,kg/ha
COKLAT,peralatan,Sabit,unit
COKLAT,peralatan,Pisau,unit
COKLAT,peralatan,Sprayer,unit
COKLAT,peralatan,Karung,unit
JAGUNG,peralatan,sprayer,unit
JAGUNG,peralatan,parang,unit
KARET,peralatan,Pisau sadap,unit
KARET,peralatan,Mangkok penampung (latex cup),unit
KARET,peralatan,Ember karet,pair
KARET,peralatan,Cangkul,unit
KARET,peralatan,Parang,unit
KARET,peralatan,Bak penampung,unit
KELAPA,peralatan,Sabit,unit
KELAPA,peralatan,Ambung,unit
KELAPA,peralatan,Cangkul,pair
KELAPA,peralatan,Parang,unit
KELAPA,peralatan,Sprayer,unit
KELAPA,peralatan,Tangkus,unit
KELAPA,peralatan,Bambu,unit
KELAPA SAWIT,peralatan,Dodos,unit
KELAPA SAWIT,peralatan,Egreg,unit
KELAPA SAWIT,peralatan,Angkong,unit
KELAPA SAWIT,peralatan,Sprayer,unit
KELAPA SAWIT,peralatan,Parang,unit
PADI,peralatan,parang,unit
PADI,peralatan,sprayer,unit
COKLAT,tenaga kerja,tebas+tebang,hok
COKLAT,tenaga kerja,Pembersihan,hok
COKLAT,tenaga kerja,Ajir+Lubang,hok
COKLAT,tenaga kerja,penanaman,hok
COKLAT,tenaga kerja,Pemangkasan Batang,hok
COKLAT,tenaga kerja,Pemupukan,hok
COKLAT,tenaga kerja,penyemprotan,hok
COKLAT,tenaga kerja,pemanenan,hok
COKLAT,tenaga kerja,pasca panen,hok
JAGUNG,tenaga kerja,Persiapan Lahan,hok
JAGUNG,tenaga kerja,Pemeliharaan parit,hok
JAGUNG,tenaga kerja,Penanaman (Tugal dan tanam),hok
JAGUNG,tenaga kerja,Penyiangan/penyemprotan,hok
JAGUNG,tenaga kerja,Panen,hok
JAGUNG,tenaga kerja,Pasca panen (kupas dan jemur),hok
KARET,tenaga kerja,tebas,hok
KARET,tenaga kerja,tumbang,hok
KARET,tenaga kerja,bakar,hok
KARET,tenaga kerja,pancang,hok
KARET,tenaga kerja padi,penanaman,hok
KARET,tenaga kerja padi,penyiangan,hok
KARET,tenaga kerja padi,bird and pig waching,hok
KARET,tenaga kerja padi,pemanenan,hok
KARET,tenaga kerja padi,pengeringan,hok
KARET,tenaga kerja karet,pembuatan lubang,hok
KARET,tenaga kerja karet,penanaman,hok
KARET,tenaga kerja karet,penyiangan,hok
KARET,tenaga kerja karet,pruning,hok
KARET,tenaga kerja karet,penyadapan,hok
KELAPA,tenaga kerja,tebas,hok
KELAPA,tenaga kerja,bakar,hok
KELAPA,tenaga kerja,Pembuatan parit cacing,hok
KELAPA,tenaga kerja,Pemeliharaan parit cacing,hok
KELAPA,tenaga kerja,Penanaman ,hok
KELAPA,tenaga kerja,Penyiangan,hok
KELAPA,tenaga kerja,Penyemprotan,hok
KELAPA,tenaga kerja,Pemanenan,hok
KELAPA,tenaga kerja,Transport ke langkau,hok
KELAPA SAWIT,tenaga kerja,tebas,hok
KELAPA SAWIT,tenaga kerja,tumbang,hok
KELAPA SAWIT,tenaga kerja,bakar,hok
KELAPA SAWIT,tenaga kerja,pancang,hok
KELAPA SAWIT,tenaga kerja padi,penanaman,hok
KELAPA SAWIT,tenaga kerja padi,penyiangan,hok
KELAPA SAWIT,tenaga kerja padi,bird and pig waching,hok
KELAPA SAWIT,tenaga kerja padi,pemanenan,hok
KELAPA SAWIT,tenaga kerja padi,pengeringan,hok
KELAPA SAWIT,tenaga kerja sawit,pembuatan lubang,hok
KELAPA SAWIT,tenaga kerja sawit,penanaman,hok
KELAPA SAWIT,tenaga kerja sawit,Pembersihan piringan,hok
KELAPA SAWIT,tenaga kerja sawit,Pruning,hok
KELAPA SAWIT,tenaga kerja sawit,Penyemprotan,hok
KELAPA SAWIT,tenaga kerja sawit,Pemupukan,hok
KELAPA SAWIT,tenaga kerja sawit,pemanenan,hok
PADI,tenaga kerja,Land Clearing/Preparation,hok
PADI,tenaga kerja,Seedbed Preparation,hok
PADI,tenaga kerja,Planting/Replanting,hok
PADI,tenaga kerja,Weeding,hok
PADI,tenaga kerja,Spraying/Crop Care,hok
PADI,tenaga kerja,Crop watching from pig,hok
PADI,tenaga kerja,Crop watching from bird,hok
PADI,tenaga kerja,Harvesting,hok
PADI,tenaga kerja,Drying,hok
