komoditas,komponen,jenis,unit,unit.harga
UMUM,pupuk,npk,kg,
UMUM,pupuk,urea,kg/ha,
UMUM,pupuk,organik,kg,
UMUM,pupuk,za,kg,
UMUM,pupuk,sp36,kg,
UMUM,pupuk,kcl,kg,
UMUM,pupuk,TSP,kg,
UMUM,pupuk,RP,kg,
UMUM,pupuk,MOP,kg,
UMUM,pupuk,Dolomite,kg,
UMUM,pupuk,CIRP,kg,
UMUM,pupuk,pupuk (liquid),,
UMUM,pupuk,pupuk (powder),,
UMUM,bibit,,,
UMUM,peralatan,,,
UMUM,tenaga kerja,,,
UMUM,utama,,,
UMUM,sampingan,,,
UMUM,modal kapital privat,,,rp
UMUM,modal kapital sosial,,,rp
UMUM,bahan kimia,LINDOMIN,lt,
UMUM,bahan kimia,ALLY,kg,
UMUM,bahan kimia,AGRISTIK,lt,
UMUM,bahan kimia,Roundup,lt,
UMUM,bahan kimia,basmilang,lt,
UMUM,bahan kimia,formic acid,botol,
