komponen,keterangan,Unit,harga privat,harga sosial
pupuk,urea ,rp,0,0
pupuk,tsp,rp,0,0
pupuk,kcl,rp,0,0
pupuk,npk,rp,0,0
pupuk,kapur/dolomit,rp,0,0
pupuk,mop,rp,0,0
pupuk,borax,rp,0,0
pupuk,kandang,rp,0,0
herbisida,round up,rp,0,0
herbisida,basmilang,rp,0,0
herbisida,lindomin,rp,0,0
pestisida,ally,rp,0,0
pestisida,decis,rp,0,0
bahan tanam /bibit,kelapa sawit,rp,0,0
bahan tanam /bibit,padi,rp,0,0
peralatan,dodos,rp,0,0
peralatan,egreg,rp,0,0
peralatan,angkong,rp,0,0
peralatan,sprayer,rp,0,0
peralatan,parang,rp,0,0
peralatan,cangkul ,rp,0,0
tenaga kerja ks,tebas,rp,0,0
tenaga kerja ks,tumbang,rp,0,0
tenaga kerja ks,bakar,rp,0,0
tenaga kerja ks,pancang,rp,0,0
tenaga kerja ks,pembuatan lubang,rp,0,0
tenaga kerja ks,pembuatan pagar,rp,0,0
tenaga kerja ks,penanaman,rp,0,0
tenaga kerja ks,pembersihan piringan,rp,0,0
tenaga kerja ks,pruning,rp,0,0
tenaga kerja ks,penyemprotan,rp,0,0
tenaga kerja ks,pemupukan,rp,0,0
tenaga kerja ks,pemanenan,rp,0,0
tenaga kerja pd,tugal,rp,0,0
tenaga kerja pd,penyiangan,rp,0,0
tenaga kerja pd,pencegahan hama dan penyakit,rp,0,0
tenaga kerja pd,pemanenan,rp,0,0
tenaga kerja pd,"pasca panen (jontok, jemur)",rp,0,0
sampingan,padi,rp,0,0
utama,tandan buah segar (tbs),rp,0,0
