komponen,keterangan,unit,harga privat,harga sosial
pupuk,npk,rp,2500,2500
pupuk,urea,rp,0,0
bahan kimia,Gramoxon,rp,60000,60000
bahan kimia,Allie,rp,53000,53000
bahan kimia,Amirtantop,rp,60000,60000
bahan kimia,Ridomid,rp,40000,40000
bahan tanam /bibit,coklat,rp,3000,3000
peralatan,Sabit,rp,250000,250000
peralatan,Pisau,rp,25000,25000
peralatan,Sprayer,rp,400000,400000
peralatan,Karung,rp,3000,3000
tenaga kerja,tebas+tebang,rp,80000,80000
tenaga kerja,Pembersihan,rp,80000,80000
tenaga kerja,Ajir+Lubang,rp,80000,80000
tenaga kerja,penanaman,rp,80000,80000
tenaga kerja,Pemangkasan Batang,rp,80000,80000
tenaga kerja,Pemupukan,rp,80000,80000
tenaga kerja,penyemprotan,rp,80000,80000
tenaga kerja,pemanenan,rp,80000,80000
tenaga kerja,pasca panen,rp,80000,80000
utama,coklat,rp,18000,18000
